"rounding_decimals","metric","value"
3,"quality_pass_database_records",1447
3,"unique_event_keys_quality_pass",691
3,"occurrence_event_representatives",691
3,"event_records_merged",756
3,"merged_event_groups",142
3,"singleton_event_groups",549
4,"quality_pass_database_records",1447
4,"unique_event_keys_quality_pass",871
4,"occurrence_event_representatives",871
4,"event_records_merged",576
4,"merged_event_groups",182
4,"singleton_event_groups",689
5,"quality_pass_database_records",1447
5,"unique_event_keys_quality_pass",946
5,"occurrence_event_representatives",946
5,"event_records_merged",501
5,"merged_event_groups",132
5,"singleton_event_groups",814
