"rounding_decimals","group_type","threshold","groups"
3,"event_key_quality_pass",">1",142
3,"event_key_quality_pass",">2",102
3,"event_key_quality_pass",">5",63
3,"event_key_quality_pass",">10",28
3,"coordinate_date_quality_pass",">1",193
3,"coordinate_date_quality_pass",">2",136
3,"coordinate_date_quality_pass",">5",78
3,"coordinate_date_quality_pass",">10",40
3,"coordinate_date_representatives",">1",75
3,"coordinate_date_representatives",">2",38
3,"coordinate_date_representatives",">5",15
3,"coordinate_date_representatives",">10",7
4,"event_key_quality_pass",">1",182
4,"event_key_quality_pass",">2",117
4,"event_key_quality_pass",">5",65
4,"event_key_quality_pass",">10",2
4,"coordinate_date_quality_pass",">1",255
4,"coordinate_date_quality_pass",">2",145
4,"coordinate_date_quality_pass",">5",72
4,"coordinate_date_quality_pass",">10",6
4,"coordinate_date_representatives",">1",90
4,"coordinate_date_representatives",">2",29
4,"coordinate_date_representatives",">5",4
4,"coordinate_date_representatives",">10",1
5,"event_key_quality_pass",">1",132
5,"event_key_quality_pass",">2",99
5,"event_key_quality_pass",">5",65
5,"event_key_quality_pass",">10",2
5,"coordinate_date_quality_pass",">1",179
5,"coordinate_date_quality_pass",">2",116
5,"coordinate_date_quality_pass",">5",71
5,"coordinate_date_quality_pass",">10",6
5,"coordinate_date_representatives",">1",63
5,"coordinate_date_representatives",">2",18
5,"coordinate_date_representatives",">5",3
5,"coordinate_date_representatives",">10",1
