"rounding_decimals","field","non_empty","denominator","percent_complete"
3,"event_date",684,691,98.99
3,"collector",607,691,87.84
3,"collector_number",489,691,70.77
3,"institution",682,691,98.7
3,"catalog_number",184,691,26.63
3,"basis_of_record",691,691,100
3,"coordinate_uncertainty",63,691,9.12
3,"first_level_administrative_unit",673,691,97.4
3,"reported_elevation",652,691,94.36
3,"taxonomic_verification_information",691,691,100
4,"event_date",864,871,99.2
4,"collector",644,871,73.94
4,"collector_number",489,871,56.14
4,"institution",862,871,98.97
4,"catalog_number",184,871,21.13
4,"basis_of_record",871,871,100
4,"coordinate_uncertainty",63,871,7.23
4,"first_level_administrative_unit",853,871,97.93
4,"reported_elevation",831,871,95.41
4,"taxonomic_verification_information",871,871,100
5,"event_date",939,946,99.26
5,"collector",644,946,68.08
5,"collector_number",489,946,51.69
5,"institution",937,946,99.05
5,"catalog_number",184,946,19.45
5,"basis_of_record",946,946,100
5,"coordinate_uncertainty",63,946,6.66
5,"first_level_administrative_unit",928,946,98.1
5,"reported_elevation",906,946,95.77
5,"taxonomic_verification_information",946,946,100
