"rounding_decimals","cell_code","independent_events","institutions","unique_sampling_years","first_event_year","most_recent_event_year","recent_verification_gap","low_sampling_gap","institutional_non_redundancy","metadata_gap","temporal_persistence_gap","equal_weight_priority","recency_emphasized_priority","sampling_emphasized_priority","priority_complete","equal_weight_rank"
3,"CELL_001",1,1,1,2021,2021,0,1,1,0.1,1,0.62,0.465,0.665,TRUE,30.5
3,"CELL_002",23,6,1,2004,2004,0.5,0.8,0,0.178260869565217,1,0.495652173913044,0.496739130434783,0.506739130434783,TRUE,43
3,"CELL_003",1,1,1,1996,1996,1,1,1,0.1,1,0.82,0.865,0.865,TRUE,4.5
3,"CELL_004",3,1,2,1996,1997,1,0.981818181818182,1,0.1,0.933333333333333,0.803030303030303,0.852272727272727,0.851969696969697,TRUE,8
3,"CELL_005",10,2,5,2004,2016,0,0.918181818181818,0.5,0.13,0.733333333333333,0.45630303030303,0.342227272727273,0.51419696969697,TRUE,46
3,"CELL_006",2,1,1,2014,2014,0,0.990909090909091,1,0.1,1,0.618181818181818,0.463636363636364,0.661818181818182,TRUE,34
3,"CELL_007",3,3,3,1999,2020,0,0.981818181818182,0,0.1,0.866666666666667,0.38969696969697,0.292272727272727,0.44530303030303,TRUE,48
3,"CELL_008",40,8,16,1982,2018,0,0.645454545454546,0,0.205,0,0.170090909090909,0.127568181818182,0.256659090909091,TRUE,58
3,"CELL_009",5,2,4,1995,2012,0,0.963636363636364,0.5,0.08,0.8,0.468727272727273,0.351545454545454,0.529272727272727,TRUE,45
3,"CELL_010",7,4,4,2005,2012,0,0.945454545454545,0,0.1,0.8,0.369090909090909,0.276818181818182,0.425909090909091,TRUE,51
3,"CELL_011",1,1,1,2002,2002,0.5,1,1,0.1,1,0.72,0.665,0.765,TRUE,13
3,"CELL_012",6,4,5,2007,2024,0,0.954545454545455,0,0.2,0.733333333333333,0.377575757575758,0.283181818181818,0.437424242424242,TRUE,50
3,"CELL_013",21,7,11,1982,2024,0,0.818181818181818,0,0.233333333333333,0.333333333333333,0.276969696969697,0.207727272727273,0.35469696969697,TRUE,57
3,"CELL_014",12,5,6,2004,2018,0,0.9,0,0.358333333333333,0.666666666666667,0.385,0.28875,0.435416666666667,TRUE,49
3,"CELL_015",1,1,1,2010,2010,0,1,1,0,1,0.6,0.45,0.65,TRUE,37
3,"CELL_016",12,7,6,2002,2025,0,0.9,0,0.241666666666667,0.666666666666667,0.361666666666667,0.27125,0.417916666666667,TRUE,52
3,"CELL_017",1,1,1,1989,1989,1,1,1,0.1,1,0.82,0.865,0.865,TRUE,4.5
3,"CELL_018",82,1,3,2018,2020,0,0.263636363636364,1,0.358536585365854,0.866666666666667,0.497767923133777,0.373325942350333,0.432719881744272,TRUE,42
3,"CELL_019",24,1,1,2013,2013,0,0.790909090909091,1,0.2,1,0.598181818181818,0.448636363636364,0.606818181818182,TRUE,38
3,"CELL_020",111,2,3,2013,2022,0,0,0.5,0.2,0.866666666666667,0.313333333333333,0.235,0.216666666666667,TRUE,54
3,"CELL_021",104,1,1,2021,2021,0,0.0636363636363636,1,0.2,1,0.452727272727273,0.339545454545455,0.352272727272727,TRUE,47
3,"CELL_022",2,1,1,2022,2022,0,0.990909090909091,1,0.1,1,0.618181818181818,0.463636363636364,0.661818181818182,TRUE,34
3,"CELL_023",5,1,1,2020,2020,0,0.963636363636364,1,0.12,1,0.616727272727273,0.462545454545455,0.655272727272727,TRUE,36
3,"CELL_024",4,3,3,2000,2009,0.5,0.972727272727273,0,0.15,0.866666666666667,0.497878787878788,0.498409090909091,0.549621212121212,TRUE,41
3,"CELL_025",1,1,1,1994,1994,1,1,1,0.1,1,0.82,0.865,0.865,TRUE,4.5
3,"CELL_026",2,1,1,2017,2017,0,0.990909090909091,1,0.2,1,0.638181818181818,0.478636363636364,0.676818181818182,TRUE,23
3,"CELL_027",1,1,1,2000,2000,0.5,1,1,0,1,0.7,0.65,0.75,TRUE,17.5
3,"CELL_028",58,4,4,2015,2023,0,0.481818181818182,0,0.201724137931034,0.8,0.296708463949843,0.222531347962382,0.278894984326019,TRUE,55
3,"CELL_029",1,1,1,1998,1998,1,1,1,0.4,1,0.88,0.91,0.91,TRUE,1
3,"CELL_030",1,1,1,2000,2000,0.5,1,1,0.1,1,0.72,0.665,0.765,TRUE,13
3,"CELL_031",1,1,1,2012,2012,0,1,1,0.4,1,0.68,0.51,0.71,TRUE,20
3,"CELL_032",3,3,1,1992,1992,1,0.981818181818182,0,0.166666666666667,1,0.62969696969697,0.722272727272727,0.668636363636364,TRUE,28
3,"CELL_033",3,3,1,1999,1999,1,0.981818181818182,0,0.2,1,0.636363636363636,0.727272727272727,0.673636363636364,TRUE,25.5
3,"CELL_034",1,1,1,2023,2023,0,1,1,0.1,1,0.62,0.465,0.665,TRUE,30.5
3,"CELL_035",2,2,1,2006,2006,0.5,0.990909090909091,0.5,0.1,1,0.618181818181818,0.588636363636364,0.661818181818182,TRUE,34
3,"CELL_036",20,7,5,2003,2022,0,0.827272727272727,0,0.17,0.733333333333333,0.346121212121212,0.259590909090909,0.388378787878788,TRUE,53
3,"CELL_037",2,1,1,2015,2015,0,0.990909090909091,1,0.2,1,0.638181818181818,0.478636363636364,0.676818181818182,TRUE,23
3,"CELL_038",1,1,1,2015,2015,0,1,1,0.2,1,0.64,0.48,0.68,TRUE,21
3,"CELL_039",5,1,4,2009,2012,0,0.963636363636364,1,0.4,0.8,0.632727272727273,0.474545454545455,0.677272727272727,TRUE,27
3,"CELL_040",7,1,3,1990,1992,1,0.945454545454545,1,0.1,0.866666666666667,0.782424242424242,0.836818181818182,0.832575757575758,TRUE,10
3,"CELL_041",3,1,1,2015,2015,0,0.981818181818182,1,0.2,1,0.636363636363636,0.477272727272727,0.673636363636364,TRUE,25.5
3,"CELL_042",1,1,1,2015,2015,0,1,1,0.1,1,0.62,0.465,0.665,TRUE,30.5
3,"CELL_043",9,2,2,2008,2015,0,0.927272727272727,0.5,0.1,0.933333333333333,0.492121212121212,0.369090909090909,0.532878787878788,TRUE,44
3,"CELL_044",1,1,1,2018,2018,0,1,1,0.1,1,0.62,0.465,0.665,TRUE,30.5
3,"CELL_045",64,3,5,2015,2022,0,0.427272727272727,0,0.246875,0.733333333333333,0.281496212121212,0.211122159090909,0.259910037878788,TRUE,56
3,"CELL_046",1,1,,,,,1,1,0.1,,,,,FALSE,
3,"CELL_047",1,1,1,2009,2009,0.5,1,1,0.1,1,0.72,0.665,0.765,TRUE,13
3,"CELL_048",4,1,1,2004,2004,0.5,0.972727272727273,1,0.1,1,0.714545454545455,0.660909090909091,0.755454545454545,TRUE,16
3,"CELL_049",1,1,1,1927,1927,1,1,1,0.1,1,0.82,0.865,0.865,TRUE,4.5
3,"CELL_050",1,1,1,1984,1984,1,1,1,0.1,1,0.82,0.865,0.865,TRUE,4.5
3,"CELL_051",1,1,1,1997,1997,1,1,1,0,1,0.8,0.85,0.85,TRUE,9
3,"CELL_052",1,1,1,1991,1991,1,1,1,0.1,1,0.82,0.865,0.865,TRUE,4.5
3,"CELL_053",4,2,2,2016,2021,0,0.972727272727273,0.5,0.25,0.933333333333333,0.531212121212121,0.398409090909091,0.571287878787879,TRUE,39
3,"CELL_054",1,1,1,2007,2007,0.5,1,1,0.1,1,0.72,0.665,0.765,TRUE,13
3,"CELL_055",1,1,1,2000,2000,0.5,1,1,0,1,0.7,0.65,0.75,TRUE,17.5
3,"CELL_056",1,1,1,2000,2000,0.5,1,1,0.1,1,0.72,0.665,0.765,TRUE,13
3,"CELL_057",2,2,2,1944,2022,0,0.990909090909091,0.5,0.2,0.933333333333333,0.524848484848485,0.393636363636364,0.570151515151515,TRUE,40
3,"CELL_058",2,1,2,1992,2001,0.5,0.990909090909091,1,0,0.933333333333333,0.684848484848485,0.638636363636364,0.740151515151515,TRUE,19
3,"CELL_059",2,1,1,2023,2023,0,0.990909090909091,1,0.2,1,0.638181818181818,0.478636363636364,0.676818181818182,TRUE,23
4,"CELL_001",1,1,1,2021,2021,0,1,1,0.1,1,0.62,0.465,0.665,TRUE,32.5
4,"CELL_002",23,6,1,2004,2004,0.5,0.906779661016949,0,0.178260869565217,1,0.517008106116433,0.512756079587325,0.544112011790715,TRUE,42
4,"CELL_003",1,1,1,1996,1996,1,1,1,0.1,1,0.82,0.865,0.865,TRUE,4.5
4,"CELL_004",3,1,2,1996,1997,1,0.991525423728814,1,0.1,0.933333333333333,0.804971751412429,0.853728813559322,0.855367231638418,TRUE,8
4,"CELL_005",10,2,5,2004,2016,0,0.961864406779661,0.5,0.13,0.733333333333333,0.465039548022599,0.348779661016949,0.529485875706215,TRUE,46
4,"CELL_006",2,1,1,2014,2014,0,0.995762711864407,1,0.1,1,0.619152542372881,0.464364406779661,0.663516949152542,TRUE,36
4,"CELL_007",3,3,3,1999,2020,0,0.991525423728814,0,0.1,0.866666666666667,0.391638418079096,0.293728813559322,0.448700564971751,TRUE,50
4,"CELL_008",42,8,16,1982,2018,0,0.826271186440678,0,0.211904761904762,0,0.207635189669088,0.155726392251816,0.320980629539952,TRUE,58
4,"CELL_009",5,2,4,1995,2012,0,0.983050847457627,0.5,0.08,0.8,0.472610169491525,0.354457627118644,0.536067796610169,TRUE,45
4,"CELL_010",7,4,4,2005,2012,0,0.974576271186441,0,0.1,0.8,0.374915254237288,0.281186440677966,0.436101694915254,TRUE,52
4,"CELL_011",1,1,1,2002,2002,0.5,1,1,0.1,1,0.72,0.665,0.765,TRUE,13
4,"CELL_012",6,4,5,2007,2024,0,0.978813559322034,0,0.2,0.733333333333333,0.382429378531074,0.286822033898305,0.445918079096045,TRUE,51
4,"CELL_013",21,7,11,1982,2024,0,0.915254237288136,0,0.233333333333333,0.333333333333333,0.29638418079096,0.22228813559322,0.388672316384181,TRUE,57
4,"CELL_014",12,5,6,2004,2018,0,0.953389830508475,0,0.358333333333333,0.666666666666667,0.395677966101695,0.296758474576271,0.454103107344633,TRUE,49
4,"CELL_015",1,1,1,2010,2010,0,1,1,0,1,0.6,0.45,0.65,TRUE,38
4,"CELL_016",13,7,6,2002,2025,0,0.949152542372881,0,0.253846153846154,0.666666666666667,0.37393307257714,0.280449804432855,0.436946979574098,TRUE,53
4,"CELL_017",1,1,1,1989,1989,1,1,1,0.1,1,0.82,0.865,0.865,TRUE,4.5
4,"CELL_018",237,1,3,2018,2020,0,0,1,0.380168776371308,0.866666666666667,0.449367088607595,0.337025316455696,0.343691983122363,TRUE,47
4,"CELL_019",24,1,1,2013,2013,0,0.902542372881356,1,0.2,1,0.620508474576271,0.465381355932203,0.645889830508475,TRUE,30
4,"CELL_020",111,2,3,2013,2022,0,0.533898305084746,0.5,0.2,0.866666666666667,0.420112994350282,0.315084745762712,0.403531073446328,TRUE,48
4,"CELL_021",104,1,1,2021,2021,0,0.563559322033898,1,0.2,1,0.55271186440678,0.414533898305085,0.527245762711864,TRUE,39
4,"CELL_022",2,1,1,2022,2022,0,0.995762711864407,1,0.1,1,0.619152542372881,0.464364406779661,0.663516949152542,TRUE,36
4,"CELL_023",5,1,1,2020,2020,0,0.983050847457627,1,0.12,1,0.620610169491525,0.465457627118644,0.662067796610169,TRUE,29
4,"CELL_024",4,3,3,2000,2009,0.5,0.98728813559322,0,0.15,0.866666666666667,0.500790960451977,0.500593220338983,0.554717514124294,TRUE,43
4,"CELL_025",1,1,1,1994,1994,1,1,1,0.1,1,0.82,0.865,0.865,TRUE,4.5
4,"CELL_026",2,1,1,2017,2017,0,0.995762711864407,1,0.2,1,0.639152542372881,0.479364406779661,0.678516949152542,TRUE,23
4,"CELL_027",1,1,1,2000,2000,0.5,1,1,0,1,0.7,0.65,0.75,TRUE,17.5
4,"CELL_028",58,4,4,2015,2023,0,0.758474576271186,0,0.201724137931034,0.8,0.352039742840444,0.264029807130333,0.37572472238457,TRUE,55
4,"CELL_029",1,1,1,1998,1998,1,1,1,0.4,1,0.88,0.91,0.91,TRUE,1
4,"CELL_030",1,1,1,2000,2000,0.5,1,1,0.1,1,0.72,0.665,0.765,TRUE,13
4,"CELL_031",1,1,1,2012,2012,0,1,1,0.4,1,0.68,0.51,0.71,TRUE,20
4,"CELL_032",3,3,1,1992,1992,1,0.991525423728814,0,0.166666666666667,1,0.631638418079096,0.723728813559322,0.672033898305085,TRUE,28
4,"CELL_033",3,3,1,1999,1999,1,0.991525423728814,0,0.2,1,0.638305084745763,0.728728813559322,0.677033898305085,TRUE,25.5
4,"CELL_034",1,1,1,2023,2023,0,1,1,0.1,1,0.62,0.465,0.665,TRUE,32.5
4,"CELL_035",2,2,1,2006,2006,0.5,0.995762711864407,0.5,0.1,1,0.619152542372881,0.589364406779661,0.663516949152542,TRUE,36
4,"CELL_036",20,7,5,2003,2022,0,0.919491525423729,0,0.17,0.733333333333333,0.364564971751412,0.273423728813559,0.420655367231638,TRUE,54
4,"CELL_037",2,1,1,2015,2015,0,0.995762711864407,1,0.2,1,0.639152542372881,0.479364406779661,0.678516949152542,TRUE,23
4,"CELL_038",1,1,1,2015,2015,0,1,1,0.2,1,0.64,0.48,0.68,TRUE,21
4,"CELL_039",5,1,4,2009,2012,0,0.983050847457627,1,0.4,0.8,0.636610169491525,0.477457627118644,0.68406779661017,TRUE,27
4,"CELL_040",7,1,3,1990,1992,1,0.974576271186441,1,0.1,0.866666666666667,0.788248587570622,0.841186440677966,0.842768361581921,TRUE,10
4,"CELL_041",3,1,1,2015,2015,0,0.991525423728814,1,0.2,1,0.638305084745763,0.478728813559322,0.677033898305085,TRUE,25.5
4,"CELL_042",1,1,1,2015,2015,0,1,1,0.1,1,0.62,0.465,0.665,TRUE,32.5
4,"CELL_043",9,2,2,2008,2015,0,0.966101694915254,0.5,0.1,0.933333333333333,0.499887005649718,0.374915254237288,0.546468926553672,TRUE,44
4,"CELL_044",1,1,1,2018,2018,0,1,1,0.1,1,0.62,0.465,0.665,TRUE,32.5
4,"CELL_045",86,3,5,2015,2022,0,0.639830508474576,0,0.26046511627907,0.733333333333333,0.326725791617396,0.245044343713047,0.336343778741296,TRUE,56
