"rounding_decimals","cell_code","baseline_5dec_rank","scenario_rank","rank_change","baseline_5dec_priority","scenario_priority"
3,"CELL_019",29,38,-9,0.6252,0.5982
3,"CELL_021",39,47,-8,0.5738,0.4527
3,"CELL_020",48,54,-6,0.4426,0.3133
3,"CELL_023",30,36,-6,0.6214,0.6167
3,"CELL_018",47,42,5,0.4503,0.4978
3,"CELL_024",44,41,3,0.5014,0.4979
3,"CELL_035",37,34,3,0.6194,0.6182
3,"CELL_001",32.5,30.5,2,0.62,0.62
3,"CELL_007",50,48,2,0.392,0.3897
3,"CELL_010",53,51,2,0.3761,0.3691
3,"CELL_034",32.5,30.5,2,0.62,0.62
3,"CELL_042",32.5,30.5,2,0.62,0.62
3,"CELL_044",32.5,30.5,2,0.62,0.62
3,"CELL_006",35.5,34,1.5,0.6194,0.6182
3,"CELL_022",35.5,34,1.5,0.6194,0.6182
4,"CELL_010",53,52,1,0.3761,0.3749
4,"CELL_016",52,53,-1,0.3764,0.3739
4,"CELL_019",29,30,-1,0.6252,0.6205
4,"CELL_023",30,29,1,0.6214,0.6206
4,"CELL_024",44,43,1,0.5014,0.5008
4,"CELL_035",37,36,1,0.6194,0.6192
4,"CELL_043",43,44,-1,0.5015,0.4999
4,"CELL_006",35.5,36,-0.5,0.6194,0.6192
4,"CELL_022",35.5,36,-0.5,0.6194,0.6192
4,"CELL_001",32.5,32.5,0,0.62,0.62
4,"CELL_002",42,42,0,0.5215,0.517
4,"CELL_003",4.5,4.5,0,0.82,0.82
4,"CELL_004",8,8,0,0.8054,0.805
4,"CELL_005",46,46,0,0.4669,0.465
4,"CELL_007",50,50,0,0.392,0.3916
5,"CELL_001",32.5,32.5,0,0.62,0.62
5,"CELL_002",42,42,0,0.5215,0.5215
5,"CELL_003",4.5,4.5,0,0.82,0.82
5,"CELL_004",8,8,0,0.8054,0.8054
5,"CELL_005",46,46,0,0.4669,0.4669
5,"CELL_006",35.5,35.5,0,0.6194,0.6194
5,"CELL_007",50,50,0,0.392,0.392
5,"CELL_008",58,58,0,0.216,0.216
5,"CELL_009",45,45,0,0.4734,0.4734
5,"CELL_010",53,53,0,0.3761,0.3761
5,"CELL_011",13,13,0,0.72,0.72
5,"CELL_012",51,51,0,0.3835,0.3835
5,"CELL_013",57,57,0,0.3005,0.3005
5,"CELL_014",49,49,0,0.3979,0.3979
5,"CELL_015",38,38,0,0.6,0.6
