public_cell_code,independent_events,institutions,unique_sampling_years,first_event_year,most_recent_event_year,recent_verification_gap,low_sampling_gap,institutional_non_redundancy,metadata_gap,temporal_persistence_gap,equal_weight_priority,recency_emphasized_priority,sampling_emphasized_priority,priority_complete,priority_ineligibility_reason,priority_class
CELL_001,1,1,1.0,1998.0,1998.0,1.0,1.0,1.0,0.4,1.0,0.88,0.91,0.91,True,,0.81-1.00
CELL_002,1,1,1.0,1996.0,1996.0,1.0,1.0,1.0,0.1,1.0,0.82,0.865,0.865,True,,0.81-1.00
CELL_003,1,1,1.0,1989.0,1989.0,1.0,1.0,1.0,0.1,1.0,0.82,0.865,0.865,True,,0.81-1.00
CELL_004,1,1,1.0,1994.0,1994.0,1.0,1.0,1.0,0.1,1.0,0.82,0.865,0.865,True,,0.81-1.00
CELL_005,1,1,1.0,1927.0,1927.0,1.0,1.0,1.0,0.1,1.0,0.82,0.865,0.865,True,,0.81-1.00
CELL_006,1,1,1.0,1984.0,1984.0,1.0,1.0,1.0,0.1,1.0,0.82,0.865,0.865,True,,0.81-1.00
CELL_007,1,1,1.0,1991.0,1991.0,1.0,1.0,1.0,0.1,1.0,0.82,0.865,0.865,True,,0.81-1.00
CELL_008,3,1,2.0,1996.0,1997.0,1.0,0.993569131832797,1.0,0.1,0.933333333333333,0.805380493033226,0.854035369774919,0.856082529474812,True,,0.81-1.00
CELL_009,1,1,1.0,1997.0,1997.0,1.0,1.0,1.0,0.0,1.0,0.8,0.85,0.85,True,,0.61-0.80
CELL_010,7,1,3.0,1990.0,1992.0,1.0,0.980707395498392,1.0,0.1,0.866666666666667,0.789474812433012,0.842106109324759,0.844914255091104,True,,0.61-0.80
CELL_011,1,1,1.0,2002.0,2002.0,0.5,1.0,1.0,0.1,1.0,0.72,0.665,0.765,True,,0.61-0.80
CELL_012,1,1,1.0,2000.0,2000.0,0.5,1.0,1.0,0.1,1.0,0.72,0.665,0.765,True,,0.61-0.80
CELL_013,1,1,1.0,2009.0,2009.0,0.5,1.0,1.0,0.1,1.0,0.72,0.665,0.765,True,,0.61-0.80
CELL_014,1,1,1.0,2007.0,2007.0,0.5,1.0,1.0,0.1,1.0,0.72,0.665,0.765,True,,0.61-0.80
CELL_015,1,1,1.0,2000.0,2000.0,0.5,1.0,1.0,0.1,1.0,0.72,0.665,0.765,True,,0.61-0.80
CELL_016,4,1,1.0,2004.0,2004.0,0.5,0.990353697749196,1.0,0.1,1.0,0.718070739549839,0.663553054662379,0.761623794212219,True,,0.61-0.80
CELL_017,1,1,1.0,2000.0,2000.0,0.5,1.0,1.0,0.0,1.0,0.7,0.65,0.75,True,,0.61-0.80
CELL_018,1,1,1.0,2000.0,2000.0,0.5,1.0,1.0,0.0,1.0,0.7,0.65,0.75,True,,0.61-0.80
CELL_019,2,1,2.0,1992.0,2001.0,0.5,0.996784565916399,1.0,0.0,0.933333333333333,0.686023579849946,0.63951768488746,0.742207931404073,True,,0.61-0.80
CELL_020,1,1,1.0,2012.0,2012.0,0.0,1.0,1.0,0.4,1.0,0.68,0.51,0.71,True,,0.61-0.80
CELL_021,1,1,1.0,2015.0,2015.0,0.0,1.0,1.0,0.2,1.0,0.64,0.48,0.68,True,,0.61-0.80
CELL_022,2,1,1.0,2017.0,2017.0,0.0,0.996784565916399,1.0,0.2,1.0,0.63935691318328,0.47951768488746,0.67887459807074,True,,0.61-0.80
CELL_023,2,1,1.0,2015.0,2015.0,0.0,0.996784565916399,1.0,0.2,1.0,0.63935691318328,0.47951768488746,0.67887459807074,True,,0.61-0.80
CELL_024,2,1,1.0,2023.0,2023.0,0.0,0.996784565916399,1.0,0.2,1.0,0.63935691318328,0.47951768488746,0.67887459807074,True,,0.61-0.80
CELL_025,3,3,1.0,1999.0,1999.0,1.0,0.993569131832797,0.0,0.2,1.0,0.638713826366559,0.72903536977492,0.677749196141479,True,,0.61-0.80
CELL_026,3,1,1.0,2015.0,2015.0,0.0,0.993569131832797,1.0,0.2,1.0,0.638713826366559,0.47903536977492,0.677749196141479,True,,0.61-0.80
