institution_or_provider,occurrence_event_representatives,percent
AngloGold Ashanti Colombia S.A.S. (AGAC),312,32.98
WCS Colombia (WCS),259,27.38
Parques Nacionales Naturales de Colombia (PNN),71,7.51
MO,39,4.12
Empresas Públicas de Medellín E.S.P. (EPM),39,4.12
Universidad de Antioquia (UdeA),25,2.64
Corporación Autónoma Regional de las Cuencas de los Ríos Negro y Nare - CORNARE,19,2.01
Universidad Industrial de Santander (UIS),16,1.69
Universidad Nacional de Colombia (UNAL),11,1.16
Cormacarena,11,1.16
UTPL,10,1.06
Fundación Trópico,10,1.06
Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca - INCIVA,9,0.95
IAvH,9,0.95
[missing],9,0.95
Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH),8,0.85
LOJA,7,0.74
Universidad Distrital Francisco José de Caldas (UDistrital),6,0.63
K,5,0.53
HOXA,5,0.53
CORNARE,5,0.53
ASU,5,0.53
US,4,0.42
CRQ,4,0.42
PE,3,0.32
Parex Resources (Colombia) AG Sucursal (Parex),3,0.32
Grupo Prodeco,3,0.32
GeoPark Colombia S.A.S (Geopark),3,0.32
Universidad del Valle (UV),2,0.21
Universidad de Caldas (UCaldas),2,0.21
Universidad Católica de Oriente (UCO),2,0.21
ISAGEN S.A E.S.P (ISAGEN),2,0.21
Instituto Amazónico de Investigaciones Científicas (SINCHI),2,0.21
HUT,2,0.21
F,2,0.21
Ecopetrol S.A.,2,0.21
AMAZ,2,0.21
Universidad Tecnológica del Chocó (UTCH),1,0.11
Universidad de la Amazonia (UniAmazonia),1,0.11
RBGE,1,0.11
QCA,1,0.11
Pontificia Universidad Javeriana (PUJ),1,0.11
NY,1,0.11
JAUM,1,0.11
Jardín Botánico José Celestino Mutis (JBBJCM),1,0.11
Isagen S.A E.S.P (ISAGEN),1,0.11
Instituto de Investigaciones Ambientales del Pacífico John Von Neumann (IIAP),1,0.11
IIAP,1,0.11
ICESI,1,0.11
HUA,1,0.11
Fundación Ecológica Fedena (FEDENA),1,0.11
FNC,1,0.11
CPR,1,0.11
Corporación Autónoma Regional del Tolima (CORTOLIMA),1,0.11
AAU,1,0.11
