record_set,field,source_column,non_empty,denominator,percent_complete
independent_collecting_event_representatives,event_date,event_date_standardized,939,946,99.26
independent_collecting_event_representatives,year,year,939,946,99.26
independent_collecting_event_representatives,month,month,882,946,93.23
independent_collecting_event_representatives,day,day,865,946,91.44
independent_collecting_event_representatives,collector,recorded_by,644,946,68.08
independent_collecting_event_representatives,collector_number,record_number,489,946,51.69
independent_collecting_event_representatives,institution,institution_code,937,946,99.05
independent_collecting_event_representatives,catalog_number,catalog_number,184,946,19.45
independent_collecting_event_representatives,basis_of_record,basis_of_record,946,946,100.0
independent_collecting_event_representatives,coordinates,restricted_coordinate_presence_field,946,946,100.0
independent_collecting_event_representatives,coordinate_uncertainty,restricted_coordinate_uncertainty_field,63,946,6.66
independent_collecting_event_representatives,restricted_locality_text_field,restricted_locality_text_field,882,946,93.23
independent_collecting_event_representatives,municipality,county_standardized,0,946,0.0
independent_collecting_event_representatives,first_level_administrative_unit,department_standardized,928,946,98.1
independent_collecting_event_representatives,country,country_standardized,946,946,100.0
independent_collecting_event_representatives,reported_elevation,elevation,906,946,95.77
independent_collecting_event_representatives,individual_count,individual_count,428,946,45.24
independent_collecting_event_representatives,identification_metadata,identified_by,411,946,43.45
independent_collecting_event_representatives,taxonomic_verification_information,accepted_taxon_key,946,946,100.0
